text,read_code,read_term
Local pressure effects,SN3..,Effects of air pressure
Radiation injury of bone marrow,SN0..,"Radiation effects, unspecified"
Radiation injury,SN0..,"Radiation effects, unspecified"
General effects of low temperature,SN1..,Effects of reduced temperature
Traumatic ulcer of large intestine,J57y9,Ulceration of colon
Traumatic ulcer of small intestine,J57yA,Ulceration of intestine NOS
Traumatic arteriovenous fistula,G760.,Acquired arteriovenous fistula
Needle stick injury with clean needle,TA0..,"Accidental cut, puncture, perforation ,h'ge - medical care"
Needle stick injury with contaminated needle,TA0..,"Accidental cut, puncture, perforation ,h'ge - medical care"
Traumatic wound dehiscence,SP230,Operation wound dehiscence
Thermal injury,SN0..,"Radiation effects, unspecified"
Extravasation injury,TA010,"Accid cut,puncture,perf,h'ge - infusion"
Neonatal traumatic disorder,Q20..,Birth trauma
Perinatal trauma,Q20..,Birth trauma
Traumatic injury during pregnancy,Q20..,Birth trauma
Effects of exposure to extreme temperature,SN...,Other and unspecified external effect causes
Ischemic reperfusion injury,TAy..,Other misadventures during medical care
Barotrauma of descent,SN33.,Caisson disease
Poisoning due to irritant gas,SM7..,"Other gases, fumes or vapours causing toxic effect"
Heat exposure,SN2..,Effects of heat and light
Effects of accidental exposure to external cause,SN...,Other and unspecified external effect causes
Diving barotrauma,SN33.,Caisson disease
Poisoning due to crowd control gas,SM75.,Lacrimogenic gas causing toxic effect
Effects of overexposure to electromagnetic radiation,SN0..,"Radiation effects, unspecified"
Effects of the elements,SN...,Other and unspecified external effect causes
Effects of abnormal gravitational (G) forces AND/OR states,SN4y0,Abnormal gravitational state
Non-accidental injury to adult,SN56.,Adult maltreatment syndrome
"Traumatic deafness, occupational",F59..,Hearing loss
Needle stick injury of mouth,TA0..,"Accidental cut, puncture, perforation ,h'ge - medical care"
Deicer causing toxic effect,T901.,Accidental poisoning by other ethyl alcohol and its products
Microcystis species poisoning,SM8..,Noxious substance eaten as food causing toxic effect
Metaldehyde poisoning,SyuG9,[X]Toxic effect of other pesticides
Intoxication with Clostridium botulinum toxin,SM8..,Noxious substance eaten as food causing toxic effect
Penicillium purpurogenum toxicosis,SM97.,Aflatoxin and other mycotoxin causing toxic effect
"Poisoning caused by 1,3- indandione",SM9A.,Toxic effect of rodenticides
Poisoning by asbestos,H41..,Asbestosis
Nitrogen trichloride poisoning,T99y.,Accidental poisoning by other gases and vapours OS
Canvas shoe whitener causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Diplodiosis,SM97.,Aflatoxin and other mycotoxin causing toxic effect
Polyurethane poisoning,T916.,Accidental poisoning by other paints and varnishes
Scouring product causing toxic effect,SM96.,Soap and detergent causing toxic effect
Kitchen cleaning material causing toxic effect,SM96.,Soap and detergent causing toxic effect
Mould killer causing toxic effect,T936.,Accidental poisoning by fungicides
Cosmetic product causing toxic effect,T967.,Accidental poisoning by cosmetics
Shoe dye causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Fluorescent ornament causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Dynamite poisoning,SM24.,Nitroglycol causing toxic effect
Gastrointestinal ricin poisoning,SM82.,Berries and other plants causing toxic effect
Dishwasher product causing toxic effect,SM96.,Soap and detergent causing toxic effect
Furniture polish causing toxic effect,T912.,Accidental poisoning by polishes
Aspergillus clavatus tremors,SM97.,Aflatoxin and other mycotoxin causing toxic effect
Shoe waterproofer causing toxic effect,SM9..,Other nonmedicinal substances causing toxic effect
Isocyanate causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Thiocarbamate compound toxicity,SM93.,Organophosphate and carbamate causing toxic effect
