name,address,phone,email,doctors,url
Windsor Medical Centre,"B3, 51 Corinthian Drive Albany Auckland 0632",(09) 415 0888,admin@windsormedical.co.nz,Dr Alan Lee; Dr Albert Lin; Dr Jessie Liu; Dr Keshan Xie,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/windsor-medical-centre/
Manly Medical Centre,58 Rawhiti Road Manly Whangaparaoa Auckland 0930,(09) 424 9050,reception@manlymedical.co.nz,Dr Siobhan Allen; Dr Jo Blakey; Dr Maggie Hack; Dr Bruce Henderson; Dr Kate Knowles; Dr Kati Mackie; Dr JD Naidoo; Dr Lisa Rhee; Dr Evy Shin; Dr George Yoon,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/manly-medical-centre/
Hibiscus Coast Medical Centre,13 Moana Avenue Ōrewa Auckland 0931,09 421 9170,admin@hcmc.co.nz,Dr Nathan Camp; Dr Andrew Chambers; Dr James Crighton; Dr Jane FitzHerbert; Dr Simon Meech; Dr Barry ter Haar,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/hibiscus-coast-medical-centre/
Hillview Medical,661B Whangaparāoa Road Stanmore Bay Whangaparāoa Auckland 0932,(09) 242 3288,reception@hillviewmedical.co.nz,Dr Seng Loke,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/hillview-medical/
Long Bay Medical Centre,55a Glenvar Ridge Road Long Bay Auckland 0630,(09) 473 0063,admin@longbaymedical.co.nz,Dr Clare Dudding; Dr Rebecca Higgins; Dr Jennifer Irvine; Dr Jesse Joung; Dr Sunee Kim; Dr Michael Leong; Dr Jared Mitchell; Dr David Thompson,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/long-bay-medical-centre/
White Cross Northmed - GP,3 Akoranga Dr Northcote Auckland 0627,(09) 486 3248,northmed.reception@tamakihealth.co.nz,Dr Aubai Said,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/white-cross-northmed-gp/
Torbay Medical Centre,1042 Beach Road Torbay Auckland 0630,(09) 477 9000,admin@torbaymedical.co.nz,Dr Clare Dudding; Dr Rebecca Higgins; Dr Jennifer Irvine; Dr Jesse Joung; Dr Sunee Kim; Dr Michael Leong; Dr Jared Mitchell; Dr David Thompson; Dr Kristy Usher,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/torbay-medical-centre/
Devonport Health,20 Victoria Road Devonport Auckland 0624,(09) 972 2699,reception@devonporthealth.co.nz,Dr Christopher Dominick; Dr Lucas Doorakkers; Dr Sarah English; Dr Ori Harel; Dr Helen Shrimpton,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/devonport-health/
Beachhaven Birkdale Medical,330 Rangatira Road Beachhaven North Shore 0626,(09) 483 6422,reception@bbmedical.co.nz,Dr Bhupendra Gurung; Dr Ihipera Painting,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/beachhaven-birkdale-medical/
Snells Beach Medical Centre,Dalton Road Snells Beach Warkworth,(09) 425 5055,Email not found,Dr Kate Baddock; Dr Steve Barker; Dr Matthew Couchman; Dr Andrew Duffin; Dr Jing He; Dr Amy MacBeth; Dr Destinee Macleod; Dr Bruce Sutherland; Dr Simon Tricker,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/snells-beach-medical-centre/
Mayfield Medical Centre,454 Glenfield Road Glenfield Auckland 0629,(09) 558 2258,reception@mayfieldmedical.co.nz,Dr Sahar Bahnam; Dr Sarmad Iwaz,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/mayfield-medical-centre/
North Harbour Medical Centre,16/326 Sunset Road Mairangi Bay Auckland 0632,(09) 479 2083,Email not found,Dr Matthew Gentry; Dr Mark Groen; Dr Jong-Kuan Hung; Dr Priyanka Sharma; Dr Audrey Thorpe,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/north-harbour-medical-centre/
Sunnynook Medical Centre Ltd,119 Sunnynook Road Forrest Hill Auckland 0620,(09) 410 5331,admin@sunnynookmedical.co.nz,Dr Rekha Nadakkavukaran,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/sunnynook-medical-centre-ltd/
Torbay Community Doctors,987 Beach Road Torbay Auckland 0630,(09) 473 9594,tcd987@outlook.com,Dr Paul Hunter,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/torbay-community-doctors/
Te Puna Hauora o te Raki Paewhenua - Health & Social Services,"58A Akoranga Drive, Northcote, Auckland",(09) 489 3049,info@tepuna.org.nz,Dr Maisoon Al Dulaimi; Dr Nehal Al-Reffe; Dr Morgan Byrne; Dr Vivian Cacatian-Burgos; Dr Jonathan Hoogerbrug; Dr Sapna Samant,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/te-puna-hauora-o-te-raki-paewhenua-health/
VECA Medical Health Centre,225 Onewa Road Birkenhead Auckland 0626,(09) 553 9950,admin@vecahealth.co.nz,Dr Vincent Yiu,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/veca-medical-health-centre/
Milford Family Medical Centre,50 East Coast Road Milford Auckland 0620,(09) 449 0005,reception@milfordmedical.co.nz,Dr Paul Butler; Dr Eva Hay; Dr Rukshi Lewis; Dr Chris Maud; Dr Caroline Meade; Dr Meg Thomson,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/milford-family-medical-centre/
Family Medicine Birkenhead,29 Birkenhead Avenue Birkenhead North Shore 0626,(09) 480 7204,reception@fmb.nz,Dr Ljiljana Milovanovic; Dr Milica Milovanovic; Dr John Richmond,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/family-medicine-birkenhead/
East Coast Bays Doctors,512 East Coast Road Windsor Park Auckland 0630,(09) 478 9600,admin@ecbdoctors.co.nz,Dr Monica Huerta; Dr Tanja Minic; Dr Gee Wong,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/east-coast-bays-doctors/
Browns Bay Medical Centre,13-15 Bute Road Browns Bay Auckland 0630,(09) 479 5422,admin@brownsbaymed.co.nz,Dr Richard (Rick) Barber; Dr Rachel Dallimore; Dr Hui-Hsuan (Tina) Dirven; Dr Michael Hoogerbrug; Dr David Lim; Dr Eugeen Ong; Dr Veronica Spencer; Dr Shelley Stansfield; Dr Trudy Warin,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/browns-bay-medical-centre/
